0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,73,14,5,2,134,6,0,0,16,97,15,14,5,0,0,6,2,1,2,0,0,0,0,1,1,3,0,0,0,0,1,2,8,0,0,0,1,5,2,6,0,0,0,1,3,2,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,Bizerte,16,1,0,0,26,6,0,12,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,Carthage,35,12,11,5,27,0,0,0,3,19,5,2,0,0,0,1,1,0,1,0,0,0,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,HADRUMET,31,4,25,2,63,1,10,0,3,42,7,3,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,0,1,2,1,3,0,0,0,1,2,0,3,0,0,0,1,2,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,Virtual Expansion (MC Tunisia),28,3,0,3,12,0,0,0,2,6,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,MEDINA,17,9,3,0,16,0,0,0,2,7,7,3,0,0,0,1,0,2,1,0,0,0,0,0,1,5,0,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,NABEL,16,10,5,0,41,8,23,0,0,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,RUSPINA,32,8,14,10,49,3,33,0,2,6,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,SFAX,15,6,9,0,48,37,0,0,2,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,TACAPES,9,6,1,1,19,0,8,0,3,5,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,THYNA,12,1,0,0,11,0,4,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
,UNIVERSITY,31,18,9,4,135,8,60,27,3,21,16,7,1,1,1,1,2,1,2,0,0,1,0,1,0,3,0,0,0,2,0,1,4,0,2,1,0,0,1,3,0,1,1,0,0,1,historical_2024_01_20260718185135,2026-07-18 18:51:35.082666,01/01/2024,01/31/2024
