0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,703,284,225,34,166,32,2,2,13,103,14,29,15,0,0,6,2,6,13,6,0,0,1,1,5,15,1,0,0,7,4,3,54,3,3,0,38,7,3,50,1,3,0,36,7,3,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,Bizerte,104,29,32,15,33,10,0,17,2,3,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,2,1,0,4,0,0,0,3,1,0,3,0,0,0,2,1,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,Carthage,149,108,33,14,51,0,8,2,7,21,13,9,0,0,1,2,3,3,1,0,0,0,1,0,0,7,0,0,0,0,2,5,34,0,0,6,20,3,5,13,0,0,2,9,2,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,HADRUMET,413,67,340,9,139,8,32,0,6,77,16,17,1,1,0,3,7,5,7,0,0,0,1,2,4,18,0,0,0,5,1,12,40,8,2,0,19,3,8,34,6,1,0,17,3,7,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,Virtual Expansion (MC Tunisia),325,79,107,42,30,0,0,0,4,11,15,6,0,0,0,1,0,5,1,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,0,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,Virtual MC Tunisia,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,MEDINA,308,141,80,3,92,49,10,0,10,15,8,34,28,0,0,3,1,2,14,10,0,0,1,1,2,13,4,0,0,3,2,4,22,8,0,1,6,0,7,20,8,0,1,6,0,5,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,NABEL,192,128,65,31,28,4,0,0,5,11,8,6,0,0,0,2,1,3,3,0,0,0,0,0,3,7,1,0,0,2,1,3,16,10,0,0,5,1,0,14,9,0,0,4,1,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,RUSPINA,173,33,32,19,74,15,12,16,2,19,10,15,4,4,3,2,0,2,4,0,0,2,2,0,0,8,1,0,2,0,0,5,25,4,2,2,13,0,4,20,2,2,2,13,0,1,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,SFAX,197,97,96,3,24,3,0,1,1,10,9,6,1,0,0,0,1,4,4,0,0,0,0,0,4,11,0,0,0,1,0,10,13,5,0,0,6,1,1,10,4,0,0,4,1,1,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,TACAPES,110,97,24,18,23,7,0,0,2,8,6,7,2,0,0,1,3,1,2,0,0,0,0,1,1,2,0,0,0,0,0,2,14,4,5,2,1,0,2,12,4,5,2,0,0,1,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,THYNA,221,84,76,21,16,0,0,3,6,7,0,5,0,0,1,4,0,0,3,0,0,1,2,0,0,1,0,0,1,0,0,0,5,2,1,1,1,0,0,4,2,1,1,0,0,0,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
,UNIVERSITY,706,221,414,42,123,9,29,30,5,35,15,18,7,0,5,4,1,1,5,1,0,1,1,0,2,8,1,2,1,1,1,2,34,0,3,6,17,4,4,25,0,3,5,10,3,4,historical_2024_09_20260718185320,2026-07-18 18:53:20.222958,09/01/2024,09/30/2024
