0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,511,278,199,41,148,8,0,0,47,75,18,51,6,0,0,35,7,3,29,4,0,0,13,9,3,8,2,0,0,0,4,2,8,1,0,0,1,5,1,4,1,0,0,1,2,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,Bizerte,64,36,24,10,45,12,0,16,10,7,0,15,9,0,0,5,1,0,9,5,0,0,3,1,0,4,3,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,Carthage,151,110,123,10,56,2,0,0,19,23,12,22,2,0,0,15,0,5,17,2,0,0,9,1,5,8,0,0,1,0,0,7,4,0,0,0,0,2,2,1,0,0,0,0,1,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,HADRUMET,605,339,207,68,151,22,11,2,31,71,14,36,10,1,0,14,8,3,19,4,1,0,9,4,1,9,4,1,1,0,2,1,4,0,0,0,1,2,1,4,0,0,0,1,2,1,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,Virtual Expansion (MC Tunisia),58,26,12,4,34,0,0,0,11,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,Virtual MC Tunisia,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,MEDINA,213,122,107,50,95,46,15,0,11,15,8,53,36,0,0,8,6,3,28,16,0,1,3,5,3,10,4,0,1,0,1,4,11,8,0,0,0,1,2,4,4,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,NABEL,269,139,79,21,25,7,0,0,9,7,2,5,0,0,0,5,0,0,4,1,0,0,2,0,1,2,0,0,0,1,0,1,3,0,0,0,1,1,1,2,0,0,0,1,1,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,RUSPINA,98,33,49,19,173,36,58,19,37,11,12,44,23,2,0,18,0,1,13,6,1,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,SFAX,142,83,49,26,73,27,0,16,15,9,6,33,15,0,0,12,4,2,13,4,0,0,4,3,2,3,0,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,TACAPES,194,46,27,20,40,11,5,8,9,3,4,15,4,0,1,8,0,2,12,1,0,1,7,0,3,4,0,0,0,0,2,2,2,0,1,0,1,0,0,2,0,1,0,1,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,THYNA,476,337,246,55,38,8,3,0,12,9,6,13,3,0,0,7,1,2,6,1,0,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
,UNIVERSITY,329,171,135,41,82,7,9,11,20,24,11,27,4,0,2,14,1,6,8,1,0,0,3,0,4,5,1,0,3,0,0,1,5,0,1,2,1,0,1,1,0,0,0,1,0,0,historical_2025_02_20260718185356,2026-07-18 18:53:56.502243,02/01/2025,02/28/2025
