0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,1985,1043,630,71,450,77,68,0,119,162,24,163,59,7,0,92,3,2,123,42,3,0,74,2,2,7,1,0,0,1,4,1,9,0,1,1,3,3,1,8,0,1,1,3,2,1,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,Bizerte,138,59,34,6,36,16,0,0,4,13,3,12,8,0,0,1,2,1,6,2,0,0,1,2,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,BullaRegia,21,3,1,0,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,Carthage,112,18,24,10,88,20,0,0,24,34,10,30,16,0,0,11,2,1,19,10,0,0,7,1,1,0,0,0,0,0,0,0,5,0,0,2,0,1,2,3,0,0,2,0,0,1,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,HADRUMET,874,477,344,50,305,7,7,5,80,190,16,67,2,0,1,46,11,7,47,1,0,0,31,9,6,6,0,0,0,2,0,4,9,1,1,0,2,1,4,4,0,1,0,1,0,2,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,Virtual Expansion (MC Tunisia),19,1,0,0,27,0,0,0,8,8,11,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,Virtual MC Tunisia,2,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,MEDINA,465,241,126,55,135,62,0,7,36,20,10,74,47,0,5,19,2,1,56,38,0,1,15,1,1,3,1,0,0,0,1,1,8,3,0,0,1,1,3,2,2,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,NABEL,49,5,5,4,39,7,0,0,11,15,6,10,2,0,0,5,2,1,7,2,0,0,2,2,1,2,0,0,0,1,0,1,2,1,0,0,0,0,1,2,1,0,0,0,0,1,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,RUSPINA,36,0,3,5,44,1,6,1,3,25,8,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,2,0,0,0,0,1,1,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,SFAX,760,452,206,8,110,33,5,20,30,16,6,44,18,0,6,18,0,2,37,15,0,6,14,0,2,6,2,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,TACAPES,457,228,272,72,71,6,6,19,27,9,4,32,4,0,4,22,1,1,25,2,0,2,20,0,1,4,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,THYNA,388,274,96,13,112,21,17,27,18,28,1,36,18,1,4,12,1,0,27,11,1,5,10,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
,UNIVERSITY,926,488,399,96,167,11,1,14,63,67,11,53,2,0,6,39,4,2,32,2,0,4,20,4,2,3,0,0,0,1,2,0,5,2,0,0,1,0,2,1,0,0,0,1,0,0,historical_2025_11_20260718185450,2026-07-18 18:54:50.342925,11/01/2025,11/30/2025
