0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,1007,532,386,147,280,8,39,10,83,129,11,59,4,2,2,36,14,1,19,2,0,1,11,5,0,4,0,0,0,1,3,0,5,1,0,0,3,1,0,2,1,0,0,1,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,Bizerte,15,0,0,0,55,23,0,17,8,6,1,23,16,0,1,3,3,0,6,5,0,0,1,0,0,2,2,0,0,0,0,0,4,2,0,2,0,0,0,3,2,0,1,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,Carthage,68,7,7,5,80,2,0,17,19,27,15,20,0,0,7,9,2,2,4,0,0,0,2,2,0,2,0,0,0,1,1,0,4,0,0,0,1,1,2,1,0,0,0,0,0,1,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,HADRUMET,148,115,35,8,226,13,23,0,79,92,19,35,4,0,0,22,7,2,14,2,0,0,5,5,2,5,0,0,0,0,3,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,Virtual Expansion (MC Tunisia),76,16,27,7,28,0,0,0,13,9,6,3,0,0,0,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,Virtual MC Tunisia,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,MEDINA,43,2,2,0,106,34,2,5,30,23,12,55,22,1,2,23,5,2,18,11,0,0,6,0,1,4,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,NABEL,98,49,12,17,35,1,0,0,8,22,4,6,0,0,0,5,1,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,RUSPINA,117,33,41,1,79,9,24,14,8,20,4,11,4,2,0,4,0,1,6,2,0,0,3,0,1,3,0,0,0,1,0,2,6,0,3,2,0,1,0,4,0,2,1,0,1,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,SFAX,36,11,3,13,51,5,0,1,8,14,23,15,2,0,1,2,2,8,2,1,0,1,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,TACAPES,24,9,7,6,54,3,34,7,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,THYNA,68,48,31,4,18,2,3,1,1,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
,UNIVERSITY,743,401,390,66,126,2,13,32,25,39,15,19,0,0,7,12,0,0,7,0,0,2,5,0,0,7,0,1,2,0,0,4,4,1,0,0,1,0,2,3,1,0,0,1,0,1,historical_2024_12_20260718185343,2026-07-18 18:53:43.634172,12/01/2024,12/31/2024
