0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,310,106,188,39,303,25,42,19,62,143,12,67,6,4,2,44,10,1,29,3,1,0,21,3,1,5,0,0,0,1,3,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,Bizerte,92,51,29,2,30,1,0,5,11,12,1,8,0,0,1,5,2,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,Carthage,212,28,8,9,156,3,17,33,33,51,19,32,2,0,6,16,4,4,12,1,0,2,5,2,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,1,1,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,HADRUMET,262,31,191,32,201,16,39,0,42,91,13,48,6,0,0,33,3,6,30,1,0,0,21,2,6,2,0,0,0,1,0,1,4,0,0,0,2,2,0,4,0,0,0,2,2,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,Virtual Expansion (MC Tunisia),73,2,0,2,38,0,0,0,12,16,10,6,0,0,0,5,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,Virtual MC Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,MEDINA,138,79,25,13,114,17,19,9,36,19,14,41,10,0,0,24,2,5,16,5,0,0,7,1,3,3,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,NABEL,70,35,34,1,60,32,2,0,8,16,2,14,9,0,0,5,0,0,11,6,1,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,RUSPINA,187,69,80,40,120,8,13,23,24,39,13,35,2,2,3,20,4,4,27,0,1,1,18,3,4,2,0,1,0,0,0,1,4,2,0,0,0,1,1,3,1,0,0,0,1,1,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,SFAX,78,50,20,7,29,2,0,0,8,14,5,8,0,0,0,5,1,2,5,0,0,0,2,1,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,TACAPES,105,82,16,12,70,28,15,2,12,9,4,18,8,3,0,6,1,0,8,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,THYNA,94,9,21,1,93,17,18,30,13,13,2,16,7,0,3,6,0,0,8,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
,UNIVERSITY,257,128,93,35,160,9,5,38,53,40,15,43,4,0,3,29,1,6,20,0,0,1,16,1,2,4,0,1,0,1,0,2,3,0,1,0,0,1,1,3,0,1,0,0,1,1,historical_2024_03_20260718185205,2026-07-18 18:52:05.560116,03/01/2024,03/31/2024
