0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,152,42,28,8,296,22,68,14,54,114,24,72,18,5,2,37,8,2,43,7,2,0,25,5,4,7,2,2,0,1,1,1,3,1,0,0,0,2,0,3,1,0,0,0,2,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,Bizerte,12,3,0,0,73,28,6,8,9,20,2,32,22,0,2,6,2,0,12,8,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,Carthage,109,9,8,1,90,11,0,0,28,29,22,31,5,0,0,18,4,4,15,3,0,0,7,2,3,5,0,0,0,4,1,0,3,0,0,0,0,1,2,1,0,0,0,0,0,1,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,HADRUMET,220,125,83,17,266,23,55,32,36,108,12,48,14,6,5,16,6,1,28,7,4,1,11,4,1,4,0,0,0,3,1,0,3,0,0,0,0,2,1,3,0,0,0,0,2,1,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,Virtual Expansion (MC Tunisia),29,3,0,1,41,0,0,0,14,9,18,9,0,0,0,6,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,Virtual MC Tunisia,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,MEDINA,30,4,0,1,119,26,38,9,15,22,9,33,17,3,1,7,3,2,16,6,1,1,5,2,1,7,6,0,0,1,0,0,4,3,0,0,0,1,0,3,3,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,NABEL,43,16,8,2,58,26,6,0,8,12,6,20,12,1,0,4,1,2,13,8,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,RUSPINA,75,36,17,7,98,41,25,9,3,13,7,36,30,1,0,2,2,1,10,8,0,0,1,0,1,1,0,1,0,0,0,0,4,2,1,0,1,0,0,2,1,1,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,SFAX,85,52,30,3,77,39,0,13,4,11,10,30,21,0,1,4,0,4,15,8,0,2,3,0,2,2,0,0,0,0,2,0,5,2,0,0,0,2,1,5,2,0,0,0,2,1,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,TACAPES,39,9,5,7,66,6,14,22,6,7,11,15,3,2,0,3,2,5,9,2,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,THYNA,52,30,12,3,63,30,0,9,8,15,1,20,17,0,1,2,0,0,7,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
,UNIVERSITY,81,27,32,4,205,20,39,49,46,33,18,35,13,1,2,16,3,0,17,6,0,0,9,2,0,6,0,0,3,3,0,0,3,0,0,1,0,1,1,1,0,0,1,0,0,0,historical_2025_05_20260718185411,2026-07-18 18:54:11.221891,05/01/2025,05/31/2025
