0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,1358,810,574,123,254,41,7,2,35,151,18,54,19,1,0,22,9,3,18,6,0,0,8,3,1,8,3,0,0,2,1,2,8,2,0,0,4,2,0,7,2,0,0,3,2,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,Bizerte,94,61,26,6,57,26,0,14,5,11,1,23,17,0,2,4,0,0,6,5,0,1,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,Carthage,93,58,24,5,96,2,23,8,17,36,10,25,2,0,5,14,3,1,5,0,0,0,2,3,0,3,2,0,0,0,1,0,4,0,0,1,0,2,1,2,0,0,1,0,1,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,HADRUMET,574,60,491,8,256,30,48,0,42,125,11,44,10,1,0,21,9,3,12,1,0,0,3,5,3,8,0,0,0,0,3,5,9,1,1,0,4,2,1,8,0,1,0,4,2,1,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,Virtual Expansion (MC Tunisia),102,33,41,9,25,0,0,0,4,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,Virtual MC Tunisia,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,MEDINA,390,261,129,1,98,37,3,0,31,15,12,55,25,0,0,28,0,2,19,6,0,0,11,0,2,6,2,0,0,1,0,3,11,5,0,0,3,2,1,8,4,0,0,3,1,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,NABEL,403,295,129,37,36,4,0,0,11,16,5,5,0,0,0,4,0,1,2,0,0,0,2,0,0,2,1,0,0,0,1,0,5,2,0,0,2,1,0,3,1,0,0,2,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,RUSPINA,63,24,13,6,105,14,30,25,4,22,10,17,2,2,4,2,2,5,5,0,0,2,0,1,2,3,0,2,0,0,0,1,9,1,2,0,3,1,2,4,1,2,0,1,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,SFAX,36,16,18,2,34,11,0,3,2,13,5,7,3,0,0,1,0,3,2,1,0,0,0,0,1,4,1,0,0,0,0,3,2,0,0,0,1,1,0,2,0,0,0,1,1,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,TACAPES,180,118,37,16,16,3,0,0,0,10,3,5,0,0,0,1,3,1,4,0,1,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,THYNA,93,42,48,14,19,0,0,4,1,12,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
,UNIVERSITY,1259,784,580,39,175,19,19,54,15,56,12,35,6,1,11,8,4,5,12,0,1,4,2,0,5,5,1,0,0,2,0,2,15,4,2,0,5,2,2,7,2,1,0,3,0,1,historical_2024_10_20260718185328,2026-07-18 18:53:28.562553,10/01/2024,10/31/2024
