0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,83,33,37,14,162,5,27,8,26,81,15,35,4,0,0,13,12,6,25,4,0,0,10,7,4,26,0,0,0,16,10,0,6,0,0,0,1,5,0,3,0,0,0,1,2,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,Bizerte,7,1,2,1,34,4,5,17,1,6,1,5,2,0,3,0,0,0,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,Carthage,53,30,16,5,58,1,10,1,14,26,6,11,0,1,0,8,1,1,5,0,1,0,3,0,1,13,0,0,0,10,2,1,6,0,0,0,1,1,4,3,0,0,0,1,0,2,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,HADRUMET,78,26,37,15,121,4,36,11,18,41,11,19,0,0,1,12,3,3,15,0,0,1,10,1,3,16,0,0,0,13,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,Virtual Expansion (MC Tunisia),28,0,2,0,18,0,0,0,2,8,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,Virtual MC Tunisia,0,0,0,0,6,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,MEDINA,26,5,6,13,42,8,0,0,11,13,10,14,1,0,0,7,2,4,8,0,0,0,5,1,2,3,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,NABEL,32,15,17,1,58,9,12,0,19,15,3,19,6,2,0,10,1,0,15,5,1,0,8,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,RUSPINA,39,24,9,6,30,1,8,0,5,11,5,10,1,1,0,3,1,4,6,1,0,0,2,1,2,11,6,1,0,3,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,1,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,SFAX,12,6,3,3,28,14,0,0,2,10,2,3,2,0,0,1,0,0,2,1,0,0,1,0,0,3,1,0,0,2,0,0,3,1,0,0,0,0,2,2,1,0,0,0,0,1,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,TACAPES,21,3,3,0,22,0,6,2,2,8,4,4,0,0,2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,THYNA,17,1,1,1,25,6,0,6,3,9,1,2,1,0,0,0,1,0,2,1,0,0,0,1,0,4,0,0,0,1,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
,UNIVERSITY,108,14,14,25,84,8,6,3,17,43,7,18,2,0,0,12,2,2,8,1,0,0,6,0,1,18,2,2,0,11,2,1,6,0,1,0,0,2,3,2,0,1,0,0,0,1,historical_2023_06_20260718184946,2026-07-18 18:49:46.743485,06/01/2023,06/30/2023
