0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,1010,544,262,31,384,38,111,0,60,154,21,60,22,1,0,30,6,1,37,12,0,0,19,5,1,7,0,0,0,3,1,3,17,6,2,0,4,3,2,16,6,2,0,4,3,1,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,Bizerte,29,17,2,2,43,26,0,1,5,11,0,15,10,0,0,5,0,0,10,7,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,BullaRegia,29,4,2,1,7,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,Carthage,159,28,41,26,86,18,0,0,17,40,11,17,13,0,0,4,0,0,10,6,0,0,3,0,1,4,0,0,0,1,0,3,8,2,0,0,2,4,0,4,2,0,0,2,0,0,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,HADRUMET,1188,705,441,40,239,15,19,8,43,135,19,40,2,2,0,24,4,8,25,0,2,0,14,1,8,15,2,2,0,2,2,7,19,8,1,0,2,5,3,14,4,0,0,2,5,3,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,Virtual Expansion (MC Tunisia),54,5,7,8,37,0,0,0,7,18,12,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,MEDINA,267,124,95,16,89,38,0,0,13,30,8,28,18,0,0,5,2,3,21,12,0,0,5,2,2,14,3,0,0,4,2,5,19,7,0,1,5,3,3,12,6,0,0,4,0,2,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,NABEL,93,59,18,9,60,34,0,0,3,14,9,7,6,0,0,1,0,0,6,4,0,0,1,0,1,1,1,0,0,0,0,0,6,2,0,0,2,2,0,1,1,0,0,0,0,0,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,RUSPINA,91,37,42,16,39,5,0,0,8,18,8,6,4,0,0,1,0,1,4,1,0,0,1,0,2,4,1,0,0,0,0,3,14,9,0,1,2,1,1,5,4,0,0,0,0,1,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,SFAX,69,27,13,8,59,24,0,0,12,19,4,30,20,0,0,5,4,1,14,8,0,0,2,3,1,7,0,0,3,2,0,2,6,3,0,0,1,0,2,4,2,0,0,1,0,1,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,TACAPES,54,14,10,13,39,3,0,11,3,16,6,14,3,0,2,2,3,4,6,0,0,2,1,1,2,1,1,0,0,0,0,0,11,3,0,3,1,1,3,9,2,0,3,1,0,3,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,THYNA,499,271,73,14,83,7,10,16,21,23,6,26,5,1,1,13,5,1,14,4,0,0,7,2,1,7,5,0,1,1,0,0,8,1,0,1,4,1,1,6,1,0,1,2,1,1,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
,UNIVERSITY,738,414,218,78,106,7,0,12,28,48,11,14,3,0,0,9,2,0,7,0,0,0,5,2,0,2,0,0,0,1,1,0,23,12,0,3,7,0,1,12,5,0,1,5,0,1,historical_2025_10_20260718185442,2026-07-18 18:54:42.857001,10/01/2025,10/31/2025
