0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,17,0,1,0,37,6,2,0,5,20,4,5,2,0,0,1,2,0,4,3,0,0,0,1,0,45,16,0,0,22,6,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,Bizerte,22,4,7,1,53,26,2,8,6,9,2,8,3,0,2,2,0,1,7,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,Carthage,14,3,0,1,15,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,HADRUMET,64,24,37,3,115,5,20,7,23,54,6,27,3,0,0,14,9,1,18,2,0,0,10,5,1,3,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,0,0,0,1,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,Virtual Expansion (MC Tunisia),11,0,0,0,8,0,0,0,3,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,Virtual MC Tunisia,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,MEDINA,39,13,13,6,50,6,0,0,16,19,9,18,1,0,0,12,2,3,7,1,0,0,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,NABEL,22,10,12,0,72,27,22,0,10,11,2,17,10,1,0,6,0,0,11,8,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,RUSPINA,43,15,14,14,50,10,26,0,7,5,2,21,8,2,0,7,2,2,15,8,1,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,SFAX,26,24,1,1,16,7,4,2,0,3,0,3,3,0,0,0,0,0,3,2,0,0,1,0,0,28,16,0,4,6,1,1,6,4,0,0,1,0,1,4,3,0,0,1,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,TACAPES,6,0,0,0,21,9,2,0,1,7,2,5,2,1,0,1,1,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,THYNA,21,1,3,0,45,17,0,5,8,14,1,13,6,0,0,4,3,0,13,7,0,0,3,3,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
,UNIVERSITY,13,2,0,0,32,10,1,5,9,5,2,16,8,0,0,5,2,1,7,3,0,0,4,0,0,21,1,0,3,17,0,0,5,0,0,1,2,2,0,1,0,0,0,1,0,0,historical_2023_05_20260718184933,2026-07-18 18:49:33.188062,05/01/2023,05/31/2023
