0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,89,5,6,3,202,22,40,0,14,115,11,21,12,0,0,5,1,3,6,1,0,0,4,1,0,12,6,1,1,1,1,2,59,9,5,1,34,8,2,53,8,3,0,33,7,2,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,Bizerte,15,2,0,1,31,16,0,0,2,10,3,4,4,0,0,0,0,0,4,3,0,0,1,0,0,1,0,0,0,1,0,0,15,8,0,2,3,1,1,9,5,0,1,3,0,0,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,BullaRegia,5,0,0,1,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,Carthage,36,1,1,1,41,2,0,0,10,21,8,7,1,0,0,3,1,2,3,1,0,0,1,0,1,6,2,0,2,0,0,2,29,8,0,5,11,2,3,10,2,0,3,4,0,1,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,HADRUMET,96,52,35,9,164,4,27,1,16,89,27,22,0,5,0,6,6,5,12,0,3,0,3,1,5,22,6,2,0,1,4,9,67,19,4,4,18,14,8,53,9,4,3,17,12,8,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,Virtual Expansion (MC Tunisia),21,2,1,0,30,0,0,0,6,15,9,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,Virtual MC Tunisia,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,MEDINA,44,8,12,0,77,40,0,0,10,18,9,38,30,0,0,4,2,2,20,15,0,0,2,1,2,7,3,0,0,2,0,2,53,32,1,0,15,1,4,31,19,0,0,9,0,3,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,NABEL,19,0,0,0,19,3,0,0,1,11,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,10,6,0,0,4,0,0,6,4,0,0,2,0,0,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,RUSPINA,14,2,0,0,49,8,5,0,4,18,14,8,3,0,0,0,1,4,5,3,0,0,0,0,2,9,5,0,0,1,1,2,39,23,2,2,8,0,4,23,10,1,2,7,0,3,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,SFAX,28,2,2,4,42,17,0,0,3,11,11,17,11,0,0,1,0,5,7,3,0,0,1,0,3,8,3,0,0,0,0,5,34,17,0,1,7,1,8,22,10,0,1,3,0,8,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,TACAPES,23,1,2,1,19,2,0,1,4,8,4,7,2,0,0,4,0,1,3,1,0,0,1,0,1,6,2,0,0,1,0,3,13,1,2,0,6,2,2,10,0,2,0,5,1,2,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,THYNA,31,10,9,1,33,4,6,7,7,8,1,6,3,0,1,2,0,0,7,4,0,1,2,0,0,5,0,0,1,3,1,0,11,5,0,1,5,0,0,8,4,0,1,3,0,0,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
,UNIVERSITY,54,10,12,3,83,8,0,9,16,39,11,13,2,0,0,8,2,1,9,1,0,0,6,1,1,12,7,0,0,0,2,3,23,4,0,8,5,4,2,17,1,0,8,3,3,2,historical_2025_09_20260718185438,2026-07-18 18:54:38.034859,09/01/2025,09/30/2025
