0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,739,303,112,7,153,26,0,0,42,73,12,53,18,0,0,26,8,1,42,12,0,0,23,6,1,9,5,0,0,2,1,1,12,1,2,0,1,6,2,5,1,0,0,1,2,1,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,Bizerte,57,11,3,1,17,9,0,0,2,4,2,6,3,0,0,2,0,1,3,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,BullaRegia,15,0,0,0,4,0,0,0,3,0,1,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,Carthage,173,8,1,3,45,2,0,0,23,13,7,18,1,0,0,14,1,2,9,1,0,0,8,0,0,1,1,0,0,0,0,0,9,4,0,0,0,0,5,6,3,0,0,0,0,3,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,HADRUMET,969,628,277,27,140,4,40,3,26,60,7,34,4,5,2,19,3,1,33,2,7,2,16,5,1,2,0,0,0,0,1,1,5,0,1,0,0,1,3,2,0,0,0,0,0,2,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,Virtual Expansion (MC Tunisia),39,5,0,0,33,0,0,0,18,7,8,10,0,0,0,8,1,1,9,0,0,0,7,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,Virtual MC Tunisia,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,MEDINA,202,97,63,14,63,32,0,6,11,5,9,37,27,0,0,8,1,1,31,22,0,0,7,1,1,6,6,0,0,0,0,0,7,3,0,0,0,1,3,5,2,0,0,0,1,2,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,NABEL,142,93,34,11,27,11,0,0,8,5,3,9,3,0,0,6,0,0,10,4,0,0,6,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,2,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,RUSPINA,20,0,1,1,37,0,6,0,13,10,8,2,0,0,0,1,0,1,3,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,SFAX,203,161,27,9,88,27,20,21,9,6,5,36,17,1,10,5,0,3,24,10,1,5,5,0,3,0,0,0,0,0,0,0,4,1,0,1,0,2,0,2,1,0,1,0,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,TACAPES,169,72,58,7,20,2,4,3,5,2,4,8,0,0,1,6,0,1,6,0,0,1,4,0,1,4,0,0,0,2,0,2,3,0,0,0,1,0,2,2,0,0,0,0,0,2,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,THYNA,93,52,4,1,84,37,15,9,15,5,3,40,29,0,1,10,0,0,27,12,0,1,12,1,1,3,0,0,1,0,1,1,7,3,0,0,3,1,0,6,3,0,0,3,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
,UNIVERSITY,813,602,219,98,103,11,11,11,27,29,14,33,9,0,1,17,3,3,34,6,0,0,24,2,2,4,2,0,0,1,1,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,historical_2026_02_20260718185508,2026-07-18 18:55:08.980629,02/01/2026,02/28/2026
