0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,111,9,10,4,176,3,34,7,11,110,11,7,0,0,0,3,2,2,1,0,0,0,0,0,1,12,0,0,0,3,2,7,28,7,0,0,11,9,1,23,6,0,0,8,9,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,Bizerte,14,1,2,0,16,0,0,6,0,9,1,5,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,1,3,0,0,1,2,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,Carthage,94,55,28,13,67,2,0,2,24,25,14,27,0,0,0,22,1,4,11,0,0,0,6,1,4,11,0,0,0,4,0,7,16,4,0,0,11,0,1,9,2,0,0,7,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,HADRUMET,113,63,41,10,134,4,16,0,13,86,15,27,0,0,0,11,6,10,20,1,0,0,6,4,9,22,0,0,0,4,2,16,16,0,2,1,5,7,1,15,0,2,1,5,6,1,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,Virtual Expansion (MC Tunisia),70,3,3,2,27,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,MEDINA,32,1,0,2,32,0,0,0,6,18,8,6,0,0,0,4,1,1,2,0,0,0,0,1,1,7,0,0,0,2,1,4,10,2,0,0,5,0,3,8,1,0,0,5,0,2,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,NABEL,63,26,37,1,25,0,1,0,5,14,5,2,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,11,4,1,0,6,0,0,6,2,1,0,3,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,RUSPINA,108,21,63,25,77,4,7,0,11,39,16,10,0,1,0,3,0,6,6,0,0,0,0,0,6,7,0,0,0,0,1,6,13,4,1,0,8,0,0,10,3,1,0,6,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,SFAX,18,10,4,4,40,14,0,0,3,20,3,6,3,0,0,1,0,2,1,0,0,0,1,0,0,5,1,0,0,1,1,2,12,8,0,0,4,0,0,11,8,0,0,3,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,TACAPES,15,1,1,0,8,0,0,1,2,5,0,3,0,0,1,2,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,2,6,3,1,1,0,0,1,4,2,1,1,0,0,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,THYNA,16,1,1,0,19,0,5,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,1,2,0,8,5,0,0,1,2,0,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
,UNIVERSITY,78,9,10,10,123,0,43,25,12,36,7,10,0,1,4,2,2,1,6,0,1,1,2,1,1,12,1,0,0,4,1,6,24,0,3,4,13,3,1,22,0,3,4,13,1,1,historical_2023_09_20260718185041,2026-07-18 18:50:41.110680,09/01/2023,09/30/2023
