0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,82,33,28,4,174,12,0,12,42,87,21,35,6,0,0,24,4,1,23,4,0,0,16,2,1,28,2,2,0,17,7,0,7,0,1,0,1,3,2,5,0,1,0,1,2,1,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,Bizerte,20,0,1,0,28,1,3,12,3,9,0,4,0,1,0,2,1,0,2,0,0,0,1,1,0,3,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,BullaRegia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,Carthage,55,23,18,10,63,2,2,0,18,24,17,16,1,0,0,13,0,2,13,1,0,0,10,0,2,17,3,0,1,8,3,2,8,0,0,0,1,1,6,3,0,0,0,1,0,2,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,HADRUMET,51,10,39,3,98,23,20,0,9,37,9,16,7,1,0,5,3,0,10,4,1,0,4,1,0,47,0,3,0,33,4,7,9,0,0,0,0,0,9,8,0,0,0,0,0,8,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,Virtual Expansion (MC Tunisia),37,1,2,1,22,0,0,0,8,8,6,4,0,0,0,3,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,Virtual MC Tunisia,0,0,0,0,5,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,MEDINA,31,15,13,8,49,15,2,0,5,14,13,15,7,0,0,4,0,4,11,5,0,0,3,0,3,16,5,0,0,6,3,2,3,0,0,0,1,0,2,2,0,0,0,1,0,1,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,NABEL,21,9,11,1,24,12,0,0,4,2,6,9,5,0,0,4,0,0,7,4,0,0,3,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,RUSPINA,33,1,2,0,77,13,28,6,6,13,11,5,1,2,1,0,0,1,4,3,0,0,0,0,1,14,2,1,2,6,2,1,2,0,1,0,0,0,1,1,0,1,0,0,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,SFAX,14,7,5,3,45,22,0,0,4,11,8,11,5,0,0,3,2,1,8,3,0,0,2,2,1,5,4,0,0,1,0,0,4,0,0,0,1,0,3,4,0,0,0,1,0,3,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,TACAPES,19,9,2,7,33,9,8,2,3,7,4,9,2,3,0,2,2,0,7,2,3,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,THYNA,16,0,1,0,27,3,10,2,0,8,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
,UNIVERSITY,96,34,56,5,127,21,36,17,8,37,8,25,11,3,1,4,2,4,14,5,1,1,2,2,3,25,7,0,2,16,0,0,2,0,0,0,1,0,1,2,0,0,0,1,0,1,historical_2024_06_20260718185250,2026-07-18 18:52:50.055043,06/01/2024,06/30/2024
