0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,58,21,30,8,128,8,15,5,23,66,11,16,4,0,0,5,2,5,9,4,0,0,3,0,2,51,5,0,0,35,11,0,21,0,0,0,13,8,0,19,0,0,0,13,6,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,Bizerte,10,0,3,0,19,0,3,5,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,Carthage,73,30,29,16,67,5,6,1,10,30,15,16,4,0,0,5,4,3,9,4,0,0,2,1,2,21,5,0,0,16,0,0,9,0,0,0,8,0,1,6,0,0,0,6,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,HADRUMET,69,17,40,13,75,0,16,2,9,30,18,22,0,3,0,2,7,10,15,0,2,0,2,4,7,51,8,1,1,34,6,1,9,0,0,0,7,2,0,7,0,0,0,7,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,Virtual Expansion (MC Tunisia),49,3,2,2,26,0,0,0,12,7,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,Virtual MC Tunisia,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,MEDINA,24,10,3,5,38,6,0,0,8,12,12,15,1,0,0,6,1,7,9,1,0,0,2,1,5,11,1,0,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,NABEL,21,10,10,2,24,1,5,0,5,12,1,7,1,0,0,4,2,0,4,1,0,0,2,1,0,33,15,2,0,16,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,RUSPINA,45,12,22,11,19,3,1,0,2,10,3,6,2,0,0,1,1,2,5,1,0,0,1,1,2,18,5,1,0,8,1,3,7,4,0,0,2,0,1,5,4,0,0,1,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,SFAX,15,5,6,3,20,6,0,0,1,12,1,4,2,0,0,0,2,0,4,3,0,0,0,1,0,16,11,0,0,5,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,TACAPES,17,1,1,0,17,0,5,2,2,5,3,2,0,2,0,0,0,0,1,0,0,1,0,0,0,13,3,1,1,6,1,1,2,0,0,0,1,0,1,2,0,0,0,1,0,1,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,THYNA,20,1,1,2,7,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,4,1,0,3,0,0,0,2,1,0,2,0,0,0,1,1,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
,UNIVERSITY,51,7,5,7,70,4,9,0,14,32,11,15,4,0,0,6,2,3,10,4,0,0,3,0,3,39,13,2,5,15,2,2,7,0,0,0,6,1,0,4,0,0,0,4,0,0,historical_2023_07_20260718185001,2026-07-18 18:50:01.592833,07/01/2023,07/31/2023
