0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,578,252,122,14,228,34,0,0,62,111,21,67,22,0,0,35,7,3,43,14,0,0,22,4,3,6,1,0,0,1,3,1,15,4,1,0,2,6,2,11,3,0,0,2,4,2,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,Bizerte,188,73,54,18,53,9,0,7,18,15,4,14,3,0,0,10,1,0,7,0,0,0,6,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,BullaRegia,25,1,0,0,7,0,0,0,5,0,2,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,Carthage,241,36,21,7,118,15,0,0,35,47,21,27,5,0,0,16,4,2,16,1,0,0,10,2,3,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,HADRUMET,777,479,103,96,265,57,36,0,56,88,28,66,26,2,0,27,9,2,26,8,1,0,10,5,2,5,0,1,0,0,4,0,7,0,0,0,1,5,1,2,0,0,0,1,1,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,Virtual Expansion (MC Tunisia),17,1,1,0,34,0,0,0,20,9,5,7,0,0,0,6,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,Virtual MC Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,MEDINA,199,87,33,25,83,40,0,4,14,8,17,30,22,0,0,4,1,3,13,10,0,0,1,1,1,3,3,0,0,0,0,0,8,6,0,0,0,1,1,5,3,0,0,0,1,1,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,NABEL,197,127,43,16,47,9,0,0,23,10,5,12,1,0,0,11,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,RUSPINA,58,14,7,4,59,0,12,0,22,17,8,17,0,0,0,15,2,0,9,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,SFAX,180,99,23,6,117,57,5,9,28,11,7,40,26,2,3,8,0,1,17,6,1,3,6,0,1,5,1,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,TACAPES,268,139,53,7,54,20,5,4,12,7,6,16,3,2,0,8,1,2,11,0,2,0,7,1,1,3,3,0,0,0,0,0,3,1,0,0,2,0,0,2,1,0,0,1,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,THYNA,240,161,50,38,143,91,0,8,32,10,2,66,46,1,1,16,1,1,42,27,0,1,12,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
,UNIVERSITY,387,185,74,35,233,22,28,53,73,42,15,65,11,2,9,39,2,2,33,5,0,1,23,2,2,6,1,0,1,0,4,0,9,2,0,1,2,3,1,3,2,0,0,1,0,0,historical_2026_03_20260718185516,2026-07-18 18:55:16.438544,03/01/2026,03/31/2026
