0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,723,380,206,28,320,26,53,5,83,134,19,78,12,5,0,50,10,1,33,4,1,0,23,4,1,10,0,0,0,0,8,2,6,2,0,0,0,3,1,5,2,0,0,0,3,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,Bizerte,182,64,42,4,68,20,8,11,11,16,2,17,11,1,0,5,0,0,7,5,0,0,2,0,0,1,1,0,0,0,0,0,4,3,0,1,0,0,0,1,0,0,1,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,Carthage,183,89,58,19,120,10,0,2,45,45,18,34,4,0,1,22,3,4,9,0,0,0,7,0,2,3,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,HADRUMET,311,212,90,16,286,26,41,13,61,123,22,65,14,1,0,32,9,9,33,3,1,0,16,6,7,10,0,0,0,1,8,1,6,4,0,0,1,1,0,5,3,0,0,1,1,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,Virtual Expansion (MC Tunisia),169,5,11,7,78,0,0,0,42,21,15,17,0,0,0,15,0,2,4,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,MEDINA,273,150,45,13,160,41,58,6,26,19,10,52,28,4,0,19,1,0,20,11,0,0,8,1,0,2,1,0,0,0,1,0,9,6,0,0,0,2,1,6,5,0,0,0,1,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,NABEL,222,103,51,12,61,11,0,0,27,14,9,18,2,0,0,14,1,1,9,0,0,0,8,1,0,2,0,0,0,1,0,1,2,0,0,0,1,1,0,2,0,0,0,1,1,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,RUSPINA,377,197,132,44,292,60,110,32,42,31,17,68,40,1,3,24,0,0,24,15,0,2,7,0,0,2,1,1,0,0,0,0,4,0,0,0,1,2,1,3,0,0,0,1,1,1,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,SFAX,225,150,66,15,129,41,3,22,25,21,17,40,16,0,7,9,2,6,12,5,0,1,5,0,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,TACAPES,205,58,49,31,100,13,28,14,17,17,11,28,5,4,3,12,2,2,12,1,1,1,7,1,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,THYNA,91,30,19,10,83,18,14,2,24,17,8,28,9,2,0,13,2,2,6,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
,UNIVERSITY,239,88,15,18,232,43,17,19,71,72,10,66,27,1,3,29,5,1,25,11,0,2,9,3,0,4,0,0,1,2,0,1,3,1,0,1,0,0,1,1,0,0,1,0,0,0,historical_2025_03_20260718185401,2026-07-18 18:54:01.616664,03/01/2025,03/31/2025
