0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,244,84,159,16,298,32,31,11,57,148,19,71,16,7,0,34,13,1,42,7,3,0,23,8,1,2,0,0,0,0,2,0,7,0,0,0,1,4,2,5,0,0,0,1,3,1,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,Bizerte,86,42,34,1,46,7,0,0,20,19,0,15,1,0,0,13,1,0,8,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,Carthage,174,41,6,13,188,10,35,23,43,55,22,56,3,3,9,31,7,3,24,1,0,2,17,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,HADRUMET,177,20,138,11,224,28,51,5,39,90,11,62,12,3,1,33,5,8,34,5,1,0,20,4,4,2,0,0,0,0,2,0,3,0,0,0,0,3,0,1,0,0,0,0,1,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,Virtual Expansion (MC Tunisia),85,2,0,4,57,0,0,0,23,15,19,19,0,0,0,14,1,4,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,Virtual MC Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,MEDINA,89,60,8,10,102,16,13,13,35,15,10,44,8,1,1,25,2,7,18,3,0,1,9,1,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,NABEL,40,29,9,2,76,25,7,1,23,18,2,28,10,1,0,15,2,0,16,5,1,0,8,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,1,0,0,0,1,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,RUSPINA,110,34,49,27,165,48,28,12,17,44,16,49,18,3,1,12,4,11,23,9,3,0,5,1,5,6,0,2,0,0,0,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,SFAX,96,77,17,2,48,10,0,0,15,18,5,15,3,0,0,11,0,1,8,3,0,0,4,0,1,3,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,TACAPES,41,19,19,10,71,27,8,3,11,10,12,22,5,2,2,10,1,2,6,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,THYNA,56,7,2,2,82,10,18,18,17,15,4,13,3,1,3,4,2,0,5,2,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
,UNIVERSITY,187,107,63,17,175,24,10,14,56,58,13,52,10,2,2,31,3,4,29,6,0,2,17,2,2,2,0,0,0,1,0,1,5,0,0,2,1,1,1,4,0,0,1,1,1,1,historical_2024_04_20260718185222,2026-07-18 18:52:22.046748,04/01/2024,04/30/2024
