0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,98,42,47,12,165,2,25,8,10,108,12,8,1,0,0,3,4,0,5,0,0,0,1,3,1,2,0,0,0,0,1,1,10,0,0,0,2,8,0,6,0,0,0,1,5,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,Bizerte,15,4,4,0,13,0,0,4,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,Carthage,126,81,30,15,64,5,0,0,22,32,5,21,0,0,0,18,1,2,5,0,0,0,3,1,1,2,0,0,0,1,0,1,4,0,0,0,4,0,0,4,0,0,0,4,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,HADRUMET,123,53,65,5,122,5,5,0,21,79,12,20,2,0,0,14,2,2,6,0,0,0,3,1,2,6,0,0,0,1,2,3,4,0,0,0,3,1,0,4,0,0,0,3,1,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,Virtual Expansion (MC Tunisia),40,1,2,2,23,0,0,0,5,12,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,Virtual MC Tunisia,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,MEDINA,56,14,27,4,25,0,0,0,3,15,7,6,0,0,0,2,1,3,5,0,0,0,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,NABEL,273,137,135,1,25,0,5,0,4,14,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,2,1,0,3,1,0,0,2,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,RUSPINA,114,41,49,25,69,4,6,0,19,28,12,5,1,0,0,2,1,1,3,1,0,0,0,1,1,5,1,0,0,0,1,3,5,0,0,0,1,1,3,5,0,0,0,1,1,3,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,SFAX,13,10,1,2,35,21,0,0,2,9,3,5,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,TACAPES,19,0,1,0,26,1,14,1,2,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,THYNA,17,2,0,0,21,2,6,0,2,9,2,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
,UNIVERSITY,134,11,17,30,112,7,16,18,11,43,17,20,5,0,4,8,1,2,10,3,0,2,4,0,1,2,0,0,0,0,2,0,13,1,0,1,6,3,2,8,1,0,0,6,0,1,historical_2023_10_20260718185054,2026-07-18 18:50:54.430514,10/01/2023,10/31/2023
