0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,260,47,88,1,138,14,0,2,27,79,16,34,5,0,0,21,4,4,23,2,0,0,15,3,3,101,18,1,0,74,6,2,25,2,2,0,10,8,3,20,2,2,0,8,6,2,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,Bizerte,14,0,2,1,22,1,0,11,2,8,0,3,0,0,2,1,0,0,3,0,0,2,1,0,0,10,5,0,0,4,1,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,Carthage,50,25,10,16,65,1,6,12,10,23,13,16,0,1,4,8,1,2,12,0,0,0,8,1,3,68,17,0,5,44,2,0,11,3,0,0,6,0,2,6,3,0,0,2,0,1,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,HADRUMET,86,10,62,12,132,19,19,0,15,56,23,31,2,1,0,11,7,10,20,1,1,0,6,5,7,63,15,2,0,35,6,5,35,0,1,0,24,5,5,32,0,0,0,24,3,5,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,Virtual Expansion (MC Tunisia),41,0,2,2,24,0,0,0,4,12,8,4,0,0,0,2,1,1,1,0,0,0,0,0,1,6,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,Virtual MC Tunisia,0,0,0,0,6,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,MEDINA,36,15,8,8,69,16,8,0,12,17,16,33,12,0,0,10,1,10,20,10,0,0,2,1,7,36,9,0,1,16,2,8,8,4,0,0,4,0,0,8,4,0,0,4,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,NABEL,33,15,16,1,42,14,4,0,4,14,6,8,5,0,0,0,1,2,6,4,0,0,0,1,1,33,19,1,0,12,1,0,5,0,0,0,4,0,1,5,0,0,0,4,0,1,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,RUSPINA,41,2,2,1,76,20,17,0,8,19,12,6,0,0,0,4,0,2,8,0,1,1,4,0,2,51,19,4,2,21,3,2,10,0,1,0,4,0,5,8,0,1,0,4,0,3,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,SFAX,17,10,3,4,44,17,0,0,3,11,13,10,4,0,0,1,0,5,8,2,0,0,1,0,5,11,7,0,0,3,1,0,2,1,0,0,1,0,0,2,1,0,0,1,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,TACAPES,19,12,5,2,34,4,14,1,1,8,6,3,0,1,0,0,1,1,1,0,1,0,0,0,0,21,5,6,2,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,THYNA,9,0,0,0,18,0,3,0,2,9,4,3,0,0,0,1,1,1,0,0,0,0,0,0,0,12,6,0,1,5,0,0,3,0,1,0,2,0,0,3,0,1,0,2,0,0,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
,UNIVERSITY,77,34,30,11,105,10,13,27,11,27,17,22,4,2,2,8,3,3,16,4,2,1,4,3,2,63,16,2,6,31,5,3,17,0,1,0,13,2,1,13,0,1,0,9,2,1,historical_2024_07_20260718185303,2026-07-18 18:53:03.121386,07/01/2024,07/31/2024
