0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,157,62,95,1,93,0,0,0,6,76,11,13,0,0,0,5,8,0,10,0,0,0,3,7,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,Bizerte,12,1,1,0,14,3,0,0,5,4,2,5,1,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,Carthage,42,17,13,5,27,0,0,0,10,12,5,12,0,0,0,7,1,4,8,0,0,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,HADRUMET,40,22,15,3,38,2,0,0,8,23,5,12,2,0,0,7,1,2,10,2,0,0,5,2,1,2,0,0,0,1,1,0,3,0,0,0,1,2,0,2,0,0,0,1,1,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,Virtual Expansion (MC Tunisia),15,0,0,0,10,0,0,0,4,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,Virtual MC Tunisia,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,MEDINA,9,0,3,0,17,0,0,0,1,14,2,5,0,0,0,2,1,2,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,NABEL,58,5,7,0,10,2,0,0,0,8,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,RUSPINA,25,6,15,4,15,0,0,0,6,7,2,7,0,0,0,5,1,1,4,0,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,SFAX,48,31,14,2,10,0,0,0,0,7,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,TACAPES,15,7,5,6,9,0,0,0,4,4,1,5,0,0,0,4,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,THYNA,14,0,1,0,9,1,0,0,3,5,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
,UNIVERSITY,50,16,32,2,50,4,8,0,8,24,6,12,3,0,0,5,2,2,10,2,0,0,4,2,2,2,0,0,0,0,1,1,2,0,0,0,1,1,0,2,0,0,0,1,1,0,historical_2023_02_20260718184859,2026-07-18 18:48:59.946008,02/01/2023,02/28/2023
