0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,70,0,2,0,185,28,39,4,25,75,14,36,17,0,0,10,9,0,23,7,0,0,10,6,0,42,3,1,1,31,5,1,5,0,0,0,0,3,2,2,0,0,0,0,1,1,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,Bizerte,14,0,0,0,35,5,0,15,5,5,5,11,4,0,3,1,0,3,8,3,0,2,1,0,2,7,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,BullaRegia,17,1,1,0,8,0,0,0,1,2,5,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,Carthage,51,0,0,1,36,0,0,0,12,12,12,9,0,0,0,4,5,0,6,0,0,0,2,4,0,15,3,0,0,6,6,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,HADRUMET,38,0,2,3,111,14,1,13,14,50,19,16,0,0,0,7,4,5,13,2,0,0,7,1,3,25,3,1,1,6,9,5,10,1,1,0,0,4,4,5,1,1,0,0,2,1,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,Virtual Expansion (MC Tunisia),18,0,0,0,27,0,0,0,8,6,13,3,0,0,0,1,1,1,1,0,0,0,0,0,1,4,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,MEDINA,29,9,1,0,87,36,8,2,11,13,17,32,25,1,0,3,2,1,27,23,0,0,3,0,1,18,13,0,0,3,0,2,7,5,0,0,0,0,2,1,1,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,NABEL,14,1,0,1,32,12,5,0,1,7,7,5,3,1,0,0,0,1,4,1,2,0,0,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,RUSPINA,18,0,0,1,30,0,0,0,8,13,9,6,0,0,0,2,0,4,2,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,SFAX,20,6,0,0,59,26,2,13,5,9,4,25,18,0,3,1,1,2,23,17,0,3,0,1,2,8,4,0,0,3,0,1,7,4,0,0,0,0,3,4,3,0,0,0,0,1,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,TACAPES,19,0,0,0,41,16,8,4,2,8,3,4,2,0,0,0,1,1,5,2,0,0,1,1,1,3,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,THYNA,14,1,0,0,80,52,4,4,7,10,3,36,31,1,0,4,0,0,25,22,1,0,2,0,0,6,2,0,0,3,1,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
,UNIVERSITY,42,1,0,0,153,16,34,36,35,22,10,45,13,2,3,23,2,2,39,12,2,4,19,0,2,26,1,0,8,15,2,0,6,0,0,1,3,2,0,2,0,0,0,2,0,0,historical_2026_06_20260718185536,2026-07-18 18:55:36.563751,06/01/2026,06/30/2026
