0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,78,10,7,0,129,9,10,0,22,80,8,25,3,2,0,12,7,1,13,1,2,0,8,2,0,121,39,5,0,65,10,2,21,8,1,0,11,1,0,20,7,1,0,11,1,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,Bizerte,5,1,0,1,17,8,0,1,5,1,2,3,1,0,0,2,0,0,1,0,0,0,1,0,0,44,31,0,1,11,1,0,5,4,0,0,1,0,0,1,1,0,0,0,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,Carthage,79,40,22,5,53,12,0,0,9,20,12,15,8,0,0,3,0,4,8,5,0,0,2,0,1,47,8,0,5,25,5,4,16,5,0,0,9,0,2,10,4,0,0,5,0,1,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,HADRUMET,78,35,39,5,158,12,22,5,20,84,15,29,10,0,1,9,4,5,24,10,0,1,6,3,4,93,22,7,4,46,9,5,18,0,0,0,7,3,8,16,0,0,0,6,3,7,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,Virtual Expansion (MC Tunisia),33,1,1,1,26,0,0,0,9,6,11,4,0,0,0,3,0,1,1,0,0,0,0,0,1,2,0,0,0,2,0,0,4,0,0,0,2,0,2,2,0,0,0,1,0,1,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,MEDINA,22,1,0,2,65,20,18,3,5,10,9,19,13,1,0,2,1,2,15,9,1,0,2,1,2,63,32,0,0,25,3,3,20,5,0,0,11,1,3,14,4,0,0,7,0,3,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,NABEL,15,2,1,0,26,11,0,0,2,10,3,1,1,0,0,0,0,0,3,1,0,0,2,0,0,25,12,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,RUSPINA,28,0,2,1,61,15,2,1,7,25,11,15,14,0,0,1,0,0,6,4,0,0,2,0,0,45,25,1,1,16,2,0,7,2,0,0,5,0,0,5,0,0,0,5,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,SFAX,24,18,4,2,26,8,0,0,2,10,6,7,2,0,0,1,0,4,5,2,0,0,0,0,3,32,20,0,0,9,1,2,4,2,0,0,1,0,1,3,2,0,0,1,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,TACAPES,9,2,0,1,9,0,1,1,3,1,3,3,0,0,0,2,0,1,3,0,0,0,2,0,1,26,8,2,0,14,0,2,4,0,0,2,2,0,0,4,0,0,2,2,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,THYNA,68,35,14,8,28,10,0,3,4,7,4,8,5,0,2,1,0,0,7,5,0,1,1,0,0,24,7,0,1,15,0,1,4,1,0,0,3,0,0,4,1,0,0,3,0,0,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
,UNIVERSITY,61,22,22,7,76,3,2,0,19,30,22,17,0,0,0,9,5,3,13,0,0,0,7,4,2,63,16,0,7,35,4,1,13,3,1,3,4,1,1,10,3,0,2,3,1,1,historical_2025_07_20260718185423,2026-07-18 18:54:23.553640,07/01/2025,07/31/2025
