0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,87,7,5,6,136,14,0,0,20,83,19,19,6,0,0,8,1,4,14,3,0,0,5,3,3,43,8,1,0,31,2,1,138,39,3,0,83,8,5,124,30,3,0,79,8,4,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,Bizerte,8,0,2,0,15,3,0,1,2,6,3,2,1,0,0,1,0,0,1,1,0,0,0,0,0,10,4,0,1,4,1,0,38,26,0,0,11,1,0,15,10,0,0,4,1,0,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,Carthage,132,67,32,1,59,0,0,2,18,27,12,6,0,0,2,1,0,3,5,0,0,2,0,0,3,13,2,0,0,8,1,2,35,3,0,0,23,4,5,14,2,0,0,12,0,0,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,HADRUMET,79,44,28,6,164,4,22,10,15,87,26,17,2,1,0,1,8,5,12,2,1,0,0,5,4,29,14,0,0,9,3,3,80,15,7,0,45,4,9,70,11,5,0,44,4,6,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,Virtual Expansion (MC Tunisia),38,0,1,1,29,0,0,0,5,11,13,3,0,0,0,0,1,2,1,0,0,0,0,0,1,4,0,0,0,2,0,2,4,0,0,0,3,0,1,2,0,0,0,2,0,0,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,Virtual MC Tunisia,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,MEDINA,24,0,0,1,64,16,8,0,13,10,17,22,8,0,0,9,0,5,17,6,0,0,7,0,4,50,34,1,1,13,0,1,73,34,1,3,26,0,9,48,22,0,3,17,0,6,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,NABEL,15,0,0,1,34,8,0,0,8,8,10,5,3,0,0,0,1,1,4,3,0,0,0,0,1,12,8,0,0,3,0,1,24,12,1,0,10,0,1,22,11,1,0,9,0,1,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,RUSPINA,20,0,2,0,60,5,5,0,12,21,17,9,4,0,0,2,1,2,7,3,0,0,1,1,2,26,19,0,0,7,0,0,42,20,2,0,16,1,3,27,10,2,0,13,1,1,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,SFAX,20,10,3,3,25,14,0,0,2,4,5,10,7,0,0,1,1,1,4,3,0,0,0,0,1,14,5,0,0,7,0,2,26,9,1,1,9,2,4,18,5,0,1,8,1,3,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,TACAPES,35,5,1,2,41,5,3,6,10,8,9,14,5,0,1,5,0,3,6,3,0,1,0,0,2,10,1,0,3,3,1,2,22,7,0,1,13,0,1,19,4,0,1,13,0,1,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,THYNA,26,12,1,0,18,2,0,0,2,14,0,4,1,0,0,1,2,0,3,0,0,1,1,1,0,14,5,0,1,6,0,2,27,8,0,0,18,1,0,22,6,0,0,15,1,0,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
,UNIVERSITY,54,3,2,1,95,10,0,13,13,36,23,13,4,0,0,4,2,3,3,1,0,0,2,0,0,27,11,0,3,10,1,2,58,17,0,1,37,0,3,46,10,0,1,34,0,1,historical_2025_08_20260718185430,2026-07-18 18:54:30.710794,08/01/2025,08/31/2025
