0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,146,72,60,11,258,11,8,21,67,128,23,68,5,0,0,43,17,3,40,6,0,0,23,10,1,6,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,Bizerte,30,3,2,1,63,14,0,15,13,17,4,14,7,0,1,6,0,0,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,Carthage,115,50,32,21,195,37,25,5,61,44,23,82,26,1,3,41,5,6,49,20,0,3,17,4,5,6,0,0,0,3,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,HADRUMET,121,22,87,13,184,30,41,3,33,61,16,58,12,7,0,28,2,9,41,10,3,0,19,0,9,2,0,0,0,1,1,0,3,0,0,0,1,1,1,3,0,0,0,1,1,1,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,Virtual Expansion (MC Tunisia),56,0,1,1,36,0,0,0,11,14,11,3,0,0,0,2,0,1,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,Virtual MC Tunisia,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,MEDINA,60,29,16,20,108,23,20,19,19,13,14,40,13,0,0,13,5,9,29,12,0,0,8,4,5,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,NABEL,45,33,8,0,67,29,12,3,12,8,3,31,21,0,0,10,0,0,19,12,0,0,7,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,RUSPINA,58,5,5,5,167,46,33,24,24,26,14,40,15,2,1,15,4,3,30,12,2,2,10,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,SFAX,39,21,16,2,54,21,0,0,7,18,8,15,6,0,0,6,2,1,6,3,0,0,0,2,1,3,0,0,0,0,2,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,TACAPES,14,5,6,2,38,17,5,2,4,9,1,13,6,4,1,2,0,0,9,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,THYNA,19,0,1,0,65,19,11,11,5,13,6,11,8,1,0,2,0,0,9,6,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
,UNIVERSITY,127,70,39,17,221,21,62,29,41,49,19,57,5,3,2,37,5,5,31,3,2,1,21,2,2,6,0,1,0,2,1,2,2,0,1,0,1,0,0,2,0,1,0,1,0,0,historical_2024_05_20260718185235,2026-07-18 18:52:35.247802,05/01/2024,05/31/2024
