0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,243,65,54,5,207,11,37,12,25,114,8,29,9,0,2,15,2,1,11,3,0,1,6,1,0,4,1,0,0,2,1,0,2,0,0,0,1,1,0,2,0,0,0,1,1,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,Bizerte,39,6,4,1,17,0,0,10,2,4,1,3,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,Carthage,138,88,37,8,71,2,0,0,29,34,6,29,0,0,0,26,1,2,10,0,0,0,8,0,2,7,0,0,0,3,3,1,3,0,0,0,2,0,1,3,0,0,0,2,0,1,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,HADRUMET,382,167,199,16,156,0,6,0,33,101,16,36,0,0,0,27,5,4,18,2,0,0,10,3,3,8,1,0,0,1,2,4,6,0,0,0,2,1,3,4,0,0,0,2,0,2,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,Virtual Expansion (MC Tunisia),26,0,1,1,21,0,0,0,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,MEDINA,46,29,14,6,33,0,0,0,12,15,6,11,0,0,0,9,1,1,4,0,0,0,2,1,1,3,0,0,0,0,1,2,4,0,0,0,2,2,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,NABEL,132,52,81,1,34,3,16,0,1,10,4,3,0,0,0,0,0,3,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,RUSPINA,217,48,78,93,103,24,16,0,6,41,16,20,6,7,0,1,4,2,11,4,1,0,1,3,2,3,0,0,0,0,1,2,2,1,0,0,0,1,0,2,1,0,0,0,1,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,SFAX,15,5,6,4,53,28,0,0,3,17,5,16,11,0,0,1,2,2,8,6,0,0,0,1,1,2,1,0,0,0,0,1,3,1,0,0,1,1,0,2,1,0,0,1,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,TACAPES,64,5,1,2,26,0,15,2,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,THYNA,40,3,1,1,22,2,3,2,3,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
,UNIVERSITY,113,12,12,2,159,19,45,22,28,38,7,42,11,1,5,20,1,4,10,2,0,1,3,0,4,5,0,1,1,1,0,2,3,0,0,0,0,1,2,2,0,0,0,0,0,2,historical_2023_11_20260718185110,2026-07-18 18:51:10.917053,11/01/2023,11/30/2023
