0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,57,1,2,0,154,14,6,0,19,98,17,18,7,0,0,5,5,1,6,3,0,0,2,1,0,5,1,0,0,2,2,0,4,1,0,0,0,3,0,2,1,0,0,0,1,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,Bizerte,7,2,2,0,19,9,0,0,4,5,1,7,6,0,0,1,0,0,4,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,BullaRegia,9,0,0,0,6,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,Carthage,49,5,1,1,53,1,0,0,12,30,10,6,1,0,0,4,0,1,1,0,0,0,1,0,0,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,HADRUMET,198,131,41,17,154,0,72,6,10,52,14,21,0,10,0,7,3,1,2,0,0,0,1,1,0,7,0,0,0,1,4,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,Virtual Expansion (MC Tunisia),23,2,0,0,37,0,0,0,19,13,5,5,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,MEDINA,16,1,1,1,47,23,0,6,3,9,6,19,17,0,0,1,1,0,17,16,0,0,0,1,0,6,4,0,0,0,0,2,7,2,0,0,2,2,1,5,1,0,0,2,1,1,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,NABEL,12,0,0,0,17,0,0,0,3,9,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,RUSPINA,12,0,0,0,38,0,10,0,5,12,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,SFAX,19,1,0,0,40,13,5,4,11,4,3,14,7,1,2,4,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,6,3,0,0,1,0,2,2,1,0,0,1,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,TACAPES,52,5,1,2,25,2,9,0,3,6,5,2,1,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,THYNA,55,9,1,1,65,15,9,23,9,6,3,15,9,0,1,3,1,1,7,7,0,0,0,0,0,6,3,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
,UNIVERSITY,52,1,2,3,60,6,0,0,19,22,13,19,6,0,0,12,0,1,7,2,0,0,4,0,1,3,0,0,0,2,1,0,3,1,0,0,2,0,0,3,1,0,0,2,0,0,historical_2026_01_20260718185503,2026-07-18 18:55:03.525823,01/01/2026,01/31/2026
