0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,546,221,179,11,276,16,33,0,77,132,18,64,14,4,0,41,4,1,45,11,3,0,28,2,1,7,1,3,0,1,1,1,4,1,0,0,2,1,0,3,1,0,0,2,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,Bizerte,167,71,32,2,34,12,0,0,10,10,2,10,7,0,0,3,0,0,8,6,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,BullaRegia,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,Carthage,45,6,1,0,41,8,0,0,12,15,6,9,4,0,0,5,0,0,7,4,0,0,3,0,0,2,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,HADRUMET,440,215,214,8,190,0,21,4,42,110,13,33,0,7,0,20,5,1,19,0,4,0,12,2,1,8,0,1,0,0,2,5,8,1,2,0,3,1,1,3,0,2,0,0,0,1,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,Virtual Expansion (MC Tunisia),15,2,1,0,18,0,0,0,6,7,5,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,Virtual MC Tunisia,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,MEDINA,39,9,7,0,61,15,0,6,15,20,5,27,11,0,4,6,5,1,18,4,0,4,6,3,1,5,2,0,0,2,1,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,NABEL,28,1,1,1,19,5,0,0,7,4,3,6,3,0,0,2,0,1,5,2,0,0,2,0,1,4,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,RUSPINA,21,0,0,1,43,0,10,0,6,18,9,4,0,0,0,2,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,SFAX,41,20,5,3,56,21,4,3,12,10,6,21,12,1,2,6,0,0,8,5,0,0,3,0,0,7,2,0,1,1,1,2,10,1,0,3,4,0,2,7,1,0,3,2,0,1,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,TACAPES,24,9,2,3,39,2,8,13,3,7,6,21,1,0,13,2,0,5,11,2,0,7,2,0,0,2,1,0,0,0,0,1,3,2,0,0,0,0,1,2,1,0,0,0,0,1,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,THYNA,166,117,24,3,96,28,9,17,23,17,2,22,14,1,0,4,3,0,8,6,0,0,1,1,0,0,0,0,0,0,0,0,7,5,0,1,1,0,0,4,4,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
,UNIVERSITY,470,238,175,29,138,6,10,8,60,43,11,56,6,1,7,38,3,1,35,2,0,4,27,1,1,4,1,0,1,2,0,0,4,0,0,0,1,1,2,0,0,0,0,0,0,0,historical_2025_12_20260718185457,2026-07-18 18:54:57.996686,12/01/2025,12/31/2025
