0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,58,4,12,1,132,7,10,5,23,71,16,23,5,0,0,11,5,2,21,7,0,0,11,2,1,55,9,3,1,36,6,0,10,2,0,0,1,5,2,7,2,0,0,1,2,2,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,Bizerte,37,20,6,2,32,15,0,5,3,6,3,11,8,0,1,1,1,0,6,3,0,1,1,1,0,6,3,0,1,1,0,1,2,1,0,0,0,1,0,2,1,0,0,0,1,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,Carthage,51,3,3,1,57,8,0,12,13,18,6,22,6,0,5,5,5,1,15,1,0,5,5,3,1,16,6,0,0,8,1,1,5,0,0,0,0,2,3,2,0,0,0,0,1,1,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,HADRUMET,60,41,15,6,161,24,22,12,38,49,16,42,11,0,1,19,6,5,29,6,0,0,14,5,4,34,0,4,0,16,9,5,18,2,0,0,3,4,9,14,0,0,0,2,3,9,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,Virtual Expansion (MC Tunisia),20,3,2,2,30,0,0,0,6,10,14,7,0,0,0,5,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,MEDINA,19,2,1,0,94,18,34,6,9,20,7,24,12,1,0,6,4,1,17,6,0,0,6,4,1,30,7,1,3,17,1,1,10,5,0,0,2,1,2,6,5,0,0,1,0,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,NABEL,14,1,1,0,39,9,1,0,8,15,6,6,4,0,0,2,0,0,5,5,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,1,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,RUSPINA,18,2,0,0,47,13,4,3,8,12,7,16,11,0,1,4,0,0,8,4,0,1,3,0,0,17,5,2,2,7,0,1,5,0,0,0,0,2,3,2,0,0,0,0,0,2,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,SFAX,13,6,4,3,44,22,0,6,4,5,7,26,13,0,6,2,1,4,15,6,0,3,2,1,3,12,5,1,2,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,TACAPES,26,1,2,1,46,6,11,14,2,9,4,13,5,0,2,2,4,0,6,2,0,1,1,2,0,8,0,0,1,4,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,THYNA,16,2,1,2,36,5,0,11,13,6,1,10,1,0,1,7,1,0,6,0,0,0,6,0,0,10,3,0,0,6,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
,UNIVERSITY,41,13,18,8,124,13,15,8,44,27,17,27,4,0,1,17,1,4,19,1,0,1,14,1,2,16,4,1,2,8,1,0,7,0,0,1,4,1,1,5,0,0,1,3,1,0,historical_2025_06_20260718185416,2026-07-18 18:54:16.019821,06/01/2025,06/30/2025
