0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,93,47,30,16,133,3,17,13,8,82,10,15,0,0,1,6,3,5,5,0,0,0,3,0,2,18,6,0,0,6,4,2,45,4,0,0,33,7,1,40,4,0,0,32,4,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,Bizerte,7,1,4,0,37,0,8,10,2,16,1,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,10,7,0,0,3,0,0,7,5,0,0,2,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,Carthage,46,20,16,10,52,0,0,14,9,18,11,10,0,0,0,5,0,5,7,0,0,0,3,0,4,11,0,1,0,7,0,3,15,1,0,0,13,1,0,10,1,0,0,9,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,HADRUMET,70,27,38,4,125,3,32,0,6,71,13,13,1,0,0,2,1,9,9,0,0,0,0,0,9,10,0,1,0,3,1,5,52,8,1,0,37,4,2,50,8,1,0,36,3,2,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,Virtual Expansion (MC Tunisia),35,3,1,2,22,0,0,0,5,8,9,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,Virtual MC Tunisia,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,MEDINA,14,4,3,1,56,25,0,0,11,11,9,10,1,0,0,7,1,1,2,1,0,0,1,0,0,11,2,0,0,4,1,4,12,1,0,0,9,1,1,8,0,0,0,8,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,NABEL,18,8,10,0,14,1,0,0,2,7,4,3,1,0,0,0,1,1,1,1,0,0,0,0,0,11,4,0,0,6,1,0,31,15,1,0,15,0,0,21,10,1,0,10,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,RUSPINA,49,10,17,21,23,1,3,0,6,6,7,9,0,0,0,5,0,4,5,0,0,0,1,0,4,14,4,0,0,6,1,3,16,7,1,0,6,2,0,16,7,1,0,6,2,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,SFAX,15,6,5,4,35,11,0,0,3,16,5,3,0,0,0,0,1,2,4,0,0,0,0,2,2,4,1,0,0,1,2,0,8,5,0,0,2,1,0,6,5,0,0,0,1,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,TACAPES,20,2,1,0,12,2,2,0,2,3,3,5,2,0,0,1,0,2,4,2,0,0,0,0,2,3,3,0,0,0,0,0,9,3,0,0,6,0,0,5,2,0,0,3,0,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,THYNA,11,0,0,0,11,0,0,0,2,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,3,0,0,4,1,0,1,0,0,0,0,1,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
,UNIVERSITY,44,7,5,7,85,2,16,18,13,27,9,11,0,0,2,6,1,2,8,0,0,1,3,2,2,15,0,0,0,14,1,0,39,15,1,0,20,3,0,36,15,1,0,19,1,0,historical_2023_08_20260718185018,2026-07-18 18:50:18.612401,08/01/2023,08/31/2023
