0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,157,57,15,14,251,32,59,12,48,92,8,57,19,0,1,25,12,0,43,15,0,0,18,10,0,3,2,0,0,0,0,1,9,8,0,0,0,0,1,6,6,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,Bizerte,14,6,0,0,29,6,2,9,3,5,4,7,3,0,2,1,0,1,4,1,0,1,1,0,1,4,3,0,0,0,1,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,BullaRegia,12,0,0,0,9,0,0,0,4,1,4,4,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,Carthage,70,5,0,0,60,11,0,0,11,28,10,18,5,0,0,8,5,0,16,5,0,0,6,5,0,5,0,0,0,2,0,3,4,0,0,0,2,1,1,2,0,0,0,1,0,1,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,HADRUMET,58,29,1,2,171,67,11,13,14,49,17,55,36,0,0,10,7,2,44,26,0,0,7,8,3,2,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,Virtual Expansion (MC Tunisia),24,0,0,0,27,0,0,0,10,6,11,4,0,0,0,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,Virtual MC Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,MEDINA,50,3,0,0,126,70,15,4,11,9,17,61,45,3,1,8,2,2,48,37,2,1,6,1,1,4,4,0,0,0,0,0,3,1,0,0,0,0,2,1,1,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,NABEL,30,13,1,0,37,7,11,1,7,4,7,13,1,2,1,7,0,2,10,1,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,RUSPINA,16,1,0,1,19,0,0,0,4,12,3,3,0,0,0,0,2,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,SFAX,67,53,0,0,98,54,7,19,5,6,7,40,31,0,3,4,1,1,22,16,0,3,2,0,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,TACAPES,22,8,1,0,41,20,9,1,2,3,6,10,4,1,0,2,0,3,7,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,THYNA,105,25,4,2,108,85,6,1,7,7,2,56,51,0,0,2,1,2,42,39,0,0,2,1,0,0,0,0,0,0,0,0,6,3,0,0,1,1,1,4,3,0,0,1,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
,UNIVERSITY,111,45,0,0,250,21,68,56,51,39,15,78,17,0,10,47,4,0,43,8,0,5,28,2,0,2,0,0,0,1,1,0,4,1,0,1,1,1,0,2,1,0,0,1,0,0,historical_2026_05_20260718185530,2026-07-18 18:55:30.812366,05/01/2026,05/31/2026
